koda,ime,priimek,skupna_uvrstitev,skupno_st_tock,poleti_uvrstitev,poleti_st_tock,drzava,leto,spol
106378,Gregor,Schlierenzauer,43,53,,0,AUT,2016,M
147015,Philipp,Aschenwald,44,50,,0,AUT,2016,M
78803,Mackenzie,Boyd-clowes,44,50,22,36,CAN,2016,M
138409,Jaka,Hvala,46,46,33,18,SLO,2016,M
128456,Kento,Sakuyama,47,43,,0,JPN,2016,M
135119,Lauri,Asikainen,48,42,,0,FIN,2016,M
166437,David,Siegel,49,37,,0,GER,2016,M
120379,Klemens,Muranka,50,36,,0,POL,2016,M
147016,Thomas,Hofer,51,25,35,17,AUT,2016,M
134127,CHAPPUIS Ronan,Lamy,52,24,,0,FRA,2016,M
43223,Michael,Neumayer,52,24,,0,GER,2016,M
128111,Ilmir,Hazetdinov,54,23,,0,RUS,2016,M
100406,Shohei,Tochimoto,55,22,33,18,JPN,2016,M
172117,Evgenii,Klimov,56,21,,0,RUS,2016,M
179422,Bor,Pavlovcic,57,20,,0,SLO,2016,M
128806,Robert,Johansson,58,19,31,19,NOR,2016,M
92486,Kenshiro,Ito,59,16,,0,JPN,2016,M
122992,Ville,Larinto,60,14,,0,FIN,2016,M
126003,Junshiro,Kobayashi,61,13,,0,JPN,2016,M
90236,Denis,Kornilov,62,12,,0,RUS,2016,M
71839,Sebastian,Colloredo,63,11,,0,ITA,2016,M
130646,Anze,Semenic,64,8,40,6,SLO,2016,M
108867,Cestmir,Kozisek,65,7,40,6,CZE,2016,M
128788,Markus,Schiffner,65,7,,0,AUT,2016,M
160506,Naoki,Nakamura,67,6,,0,JPN,2016,M
111930,Vladimir,Zografski,67,6,,0,BUL,2016,M
109565,Andraz,Pograjc,69,5,,0,SLO,2016,M
149455,Jakub,Wolny,69,5,,0,POL,2016,M
192465,Joacim Oedegaard,Bjoereng,71,3,43,3,NOR,2016,M
29034,Anton,Kalinitschenko,71,3,,0,RUS,2016,M
180727,Tomas,Vancura,71,3,,0,CZE,2016,M
128447,Clemens,Aigner,74,2,,0,AUT,2016,M
99976,Pius,Paschke,74,2,,0,GER,2016,M
153777,Killian,Peier,74,2,,0,SUI,2016,M
173399,Kevin,Bickner,77,1,44,1,USA,2016,M
115912,Nicholas,Alexander,,0,,0,USA,2016,M
128402,Florian,Altenburger,,0,,0,AUT,2016,M
171479,Tilen,Bartol,,0,,0,SLO,2016,M
139045,Luca,Egloff,,0,,0,SUI,2016,M
102483,Michael,Glasder,,0,,0,USA,2016,M
180709,Halvor Egner,Granerud,,0,,0,NOR,2016,M
156838,Elias,Tollinger,,0,,0,AUT,2016,M
128286,Stefan,Kraft,1,1665,1,445,AUT,2017,M
73228,Kamil,Stoch,2,1524,3,279,POL,2017,M
147547,Daniel Andre,Tande,3,1201,11,120,NOR,2017,M
174244,Andreas,Wellinger,4,1161,2,333,GER,2017,M
118113,Maciej,Kot,5,985,13,111,POL,2017,M
186516,Domen,Prevc,6,963,9,138,SLO,2017,M
117835,Michael,Hayboeck,7,814,6,184,AUT,2017,M
117441,Markus,Eisenbichler,8,807,7,151,GER,2017,M
131309,Peter,Prevc,9,716,5,196,SLO,2017,M
17013,Manuel,Fettner,10,703,22,52,AUT,2017,M
73232,Piotr,Zyla,11,634,10,129,POL,2017,M
112295,Andreas,Stjernen,12,591,14,99,NOR,2017,M
128618,Richard,Freitag,13,507,17,72,GER,2017,M
128806,Robert,Johansson,14,424,12,116,NOR,2017,M
29533,Noriaki,Kasai,15,401,4,230,JPN,2017,M
13322,SEVOIE Vincent,Descombes,16,386,30,27,FRA,2017,M
172117,Evgenii,Klimov,17,382,23,41,RUS,2017,M
128621,Karl,Geiger,18,369,18,55,GER,2017,M
111251,Dawid,Kubacki,19,345,18,55,POL,2017,M
75837,Jurij,Tepes,20,326,8,144,SLO,2017,M
72563,Severin,Freund,21,309,,0,GER,2017,M
117450,Stephan,Leyhe,22,308,42,4,GER,2017,M
68743,Andreas,Kofler,23,307,,0,AUT,2017,M
